status,source_URLs,Name,Type,Cardinality,Label,Required,Help
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,,,,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,acctName,string,0..1,Name,T,Sets the account name that displays on all reports.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,acctNumber,string,0..1,Number,T,Required when the Use Account Numbers preference is enabled.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,acctType,AccountType,0..1,Type,T,"Sets the type of account. Can only be set on Add. Some account types listed here are unavailable in the NetSuite UI. For more details, see the topic called Chart of Accounts Import in the Help Center. Account type codes are:
0 - Bank
1 - Accts Receivable
2 - Inventory 
4 - Other Curr Assets
5 - Fixed Assets
6 - Accum Deprec.
8 - Other Assets
10 - Accts Payable
12 - Oth Curr Liab.
14 - Long Term Liab.
16 - Equity-No Close
18 - Retained Earn�s
19 - Equity-Closes
21 - Income
23 - COGS
24 - Expense
25 - Other Income
26 - Other Expense"
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,billableExpensesAcct,RecordRef,0..1,Track Billable Expenses in,F,"In order to retrieve a list of available values for this field, use the GetSelectValue operation. For more information, see getSelectValue of the Platform Guide."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,cashFlowRate,ConsolidatedRate,0..1,Cash Flow Rate Type,F,"Select the type of exchange rate that is used to translate foreign currency amounts for this account in the cash flow statement.
The Current rate type is based on the currency exchange rate that is effective at the end of the reported upon period.
The Average rate type is calculated from a weighted average of the exchange rates for transactions applied during the period to accounts with a general rate type of Average. This rate is the default.
The Historical rate type is calculated from a weighted average of the exchange rates for transactions applied during the period to accounts with a general rate type of Historical."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,category1099misc,RecordRef,0..1,1099-MISC Category,F,"In order to retrieve a list of available values for this field, use the GetSelectValue operation. For more information, see getSelectValue of the Platform Guide."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,class,RecordRef,0..1,Restrict to Class,F,"Sets the class to restrict use of this account to roles with permission to access it. 
In order to retrieve a list of available values for this field, use the GetSelectValue operation. For more information, see getSelectValue of the Platform Guide."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,curDocNum,long,0..1,Next Check Number,F,Defaults to the next check number in the sequence but can be overwritten.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,currency,RecordRef,0..1,Currency,F,"Sets the currency for the funds in this account. Can only be set on Add. In order to retrieve a list of available values for this field, use the GetSelectValue operation. For more information, see getSelectValue of the Platform Guide."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,customFieldList,CustomFieldList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,deferralAcct,RecordRef,0..1,Deferral Account,F,"In order to retrieve a list of available values for this field, use the GetSelectValue operation. For more information, see getSelectValue of the Platform Guide."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,department,RecordRef,0..1,Restrict to Department,F,"Sets the department to restrict use of this account to roles with permission to access it. 
In order to retrieve a list of available values for this field, use the GetSelectValue operation. For more information, see getSelectValue of the Platform Guide."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,description,string,0..1,Description,F,Enter a description for this account.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,eliminate,boolean,0..1,Eliminate Intercompany Transactions,F,"Check this box to make this account an intercompany account. Intercompany accounts are used to record transactions between subsidiaries.
You can post both intercompany transactions and non-intercompany transactions to most intercompany accounts. Intercompany Accounts Receivable and Intercompany Accounts Payable, however, can be used only for recording amounts that are candidates for eliminations.
For details, see the help topic Intercompany Accounts."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,exchangeRate,string,0..1,Exchange Rate,F,This is a read-only field based on the value selected for currency.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,generalRate,ConsolidatedRate,0..1,General Rate Type,F,"Available values are: _average, _current, _historical"
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,includeChildren,boolean,0..1,Include Children,F,Check the Include Children box to share the account with all the sub-subsidiaries associated with each subsidiary selected in the Subsidiary field.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,inventory,boolean,0..1,Inventory,F,"If TRUE, the account balance is included in the Inventory KPI. It cannot be modified on certain system-generated OCAsset accounts."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,isInactive,boolean,0..1,Inactive,F,"If TRUE, inactivates the account."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,legalName,string,0..1,Legal Name,F,"If the Use Legal Name in Account accounting preference is enabled at Setup > Accounting > Preferences > Accounting Preferences, the Legal Name field appears. You can enter up to 400 characters in this field including special characters such as colon and semi colon. You can also enter characters such as Éé,Çç, and 2 byte characters such as 会計、科目.
This field is useful in countries where the legal name of an entity is required by law.
The Legal Name field can be added to financial reports where account is an available component. It is also available in advanced searches, SuiteScript, and ODBC. 
System notes maintains an audit trail specific to the activity on the Legal Name field."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,localizationsList,AccountLocalizationsList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,location,RecordRef,0..1,Restrict to Location,F,"Sets the location to restrict use of this account to roles with permission to access it. 
In order to retrieve a list of available values for this field, use the GetSelectValue operation. For more information, see getSelectValue of the Platform Guide."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,openingBalance,double,0..1,Opening Balance,F,Sets the opening balance for this account.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,parent,RecordRef,0..1,Subaccount of,F,"To retrieve a list of available values for this field, use the GetSelectValue operation. For more information, see getSelectValue of the Platform Guide."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,restrictToAccountingBookList,RecordRefList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,revalue,boolean,0..1,Revalue Open Balance for Foreign Currency Transactions,F,Check this box to select this account for open balance currency revaluation.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,subsidiaryList,RecordRefList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,tranDate,dateTime,0..1,Date,F,Defaults to the current date.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,unit,RecordRef,0..1,Default Unit,F,"This field can be used only when the acctype field for the record is _statistical. 
The unit field displays the base unit assigned to the unitsType. This field cannot be changed after the record is created."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/account.html,unitsType,RecordRef,0..1,Unit Type,F,"This field can be used only when the acctype field for the record is _statistical.
The unitstype field displays the type of unit associated with the statistical account."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,,,,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,allLocked,boolean,0..1,All Locked,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,allowNonGLChanges,boolean,0..1,Allow Non-G/L Changes,F,"Check this box to allow users with the Allow Non-G/L Changes permission to enter non-posting transactions to this period after it has been closed.
Users who do not have the Allow Non-G/L Changes permission cannot enter non-posting transactions to a period even if the Allow Non-G/L Changes option for a period is checked."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,apLocked,boolean,0..1,A/P Locked,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,arLocked,boolean,0..1,A/R Locked,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,closed,boolean,0..1,Closed,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,closedOnDate,dateTime,0..1,Date Closed,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,endDate,dateTime,0..1,End Date,T,"Enter or pick this period's end date here.
This is a required field."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,fiscalCalendar,RecordRef,0..1,Fiscal Calendar,T,Select the fiscal calendar for the accounting year.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,fiscalCalendarsList,AccountingPeriodFiscalCalendarsList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,isAdjust,boolean,0..1,Period is Adjustment,F,Check this box if this period is an adjustment period to adjust the difference between 365 days in a calendar year and 364 days in a fiscal year that consists of 52 weeks x 7 days per week.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,isQuarter,boolean,0..1,Period is a Quarter,F,Check this box if this period is a quarter.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,isYear,boolean,0..1,Period is a Year,F,Check this box if this period is a year.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,parent,RecordRef,0..1,Sub-period of,T,"Select the appropriate parent period if one exists.
For example, you are setting up your periods for 2002 and you've created a period called Year 2002. When you create your first quarter, you would select Year 2002 in the Sub-period of field as the parent period of this quarter."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,payrollLocked,boolean,0..1,Payroll Locked,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,periodName,string,0..1,Period Name,T,"The name of the selected period. You can enter this name when you first set up the period.
Period names should be unique within a fiscal calendar. Since base periods are shared across all fiscal calendars, base period names must all be unique across all periods in all fiscal calendars
If you accessed the page from Transactions > Management > GL Audit Numbering > Setup, you can select the open period.
This is a required field."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/accountingperiod.html,startDate,dateTime,0..1,Start Date,T,"Enter or pick the date this period starts here.
This is a required field."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,,,,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,addr1,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,addr2,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,addr3,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,addressee,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,addrPhone,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,addrText,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,attention,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,city,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,country,Country,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,customFieldList,CustomFieldList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,internalId,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,override,boolean,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,state,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/address.html,zip,string,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,,,,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,accountingBook,RecordRef,0..1,Accounting Book,F,Select an accounting book. You may select the primary book or any secondary accounting book to which you have access.
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,accountingBookDetailList,AdvInterCompanyJournalEntryAccountingBookDetailList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,approved,boolean,0..1,Approved,F,"Check this box to indicate that this journal entry is approved.
If you check this box, this journal entry will post immediately.
If you do not check this box, this journal entry must be approved before it posts."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,class,RecordRef,0..1,{1},F,"If this entry is associated with a particular class, select it. Click —New— to set up a new class."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,createdDate,dateTime,0..1,Date Created,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,createdFrom,RecordRef,0..1,Void Of,F,"This field shows the original transaction that is being voided.
 
Click the link to open the original transaction."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,currency,RecordRef,0..1,Currency,F,"This field is the currency used for all amounts in this journal entry.
For regular journal entries, currency defaults to the base currency of your company or root parent subsidiary, and can be changed to any other currency available in your account.
For intercompany journal entries in OneWorld, currency defaults to the base currency of the selected initiating subsidiary and can be changed to the currency of the To Subsidiary."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,customFieldList,CustomFieldList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,customForm,RecordRef,0..1,Custom Form,F,"Select the custom journal entry record, if required."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,department,RecordRef,0..1,{1},F,"If you like, select a department.
Click New to enter a new department."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,isBookSpecific,boolean,0..1,Is Book Specific,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,lastModifiedDate,dateTime,0..1,Date Last Modified,F,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,lineList,AdvInterCompanyJournalEntryLineList,0..1,,,
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,location,RecordRef,0..1,{1},T,"Select a location to associate with this line item. Select New to create a new location record.
Go to <_TABNAME=LIST_LOCATION_> > <_TASKCATEGORY=LIST_LOCATION_> > Locations for details about existing locations."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,memo,string,0..1,Memo,F,"If you wish, enter a memo to describe this journal entry. It will appear on this transaction detail as well as reports such as a 2-line account register."
PROCESSED,https://www.netsuite.com/help/helpcenter/en_US/srbrowser/Browser2019_1/schema/record/advintercompanyjournalentry.html,parentExpenseAlloc,RecordRef,0..1,Created from Allocation,F,
